Route - ID, Order Number, Driver 1 - ID, Driver 1 - First Name, Driver 1 - Last Name, Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Service Location - Contact - First Name, Service Location - County, Latitude, Longitude, Session Date, Begin Date, Taken By, Pickup Quantities - Taps, Pickup Quantities - J&L Taps, Stop - Arrival Time, Stop - Departure Time, Special Instructions, Pickup Quantities - WWH Taps
00-LI_Z-006,1410959_Z-006_2020-03-04,Z-006,Not,Routed,1016344,Oki Sushi (San Francisco/Church),1740 Church St,San Francisco,94131,CA,CA13,San Francisco,37743030,-122426666,2020-02-20,2020-02-19,,2,0,2020-03-04 08:00:00,2020-03-04 08:15:00,,0
CYCLE,5822576_A0011_2020-02-21,A0011,Tyle,Alden CC,1114279,Firestone Walker Brewing Company (Paso Robles/Ramada),1400 Ramada Drive,Paso Robles,93446,CA,CA16,Central Coast,35596100,-120694000,2020-02-20,2020-02-21,Wine Lines,12,5574035,2020-02-20 00:00:00,2020-02-20 00:45:24,Clean Wine Lines This Cycle,0
CYCLE,5822548_A0011_2020-02-21,A0011,Tyle,Alden CC,1114353,Street Side Ale House (Atascadero/El Camino Real),6155 El Camino Real,Atascadero,93422,CA,CA16,Central Coast,35489220,-120669660,2020-02-20,2020-02-21,Wine Lines,12,5574062,2020-02-20 00:55:35,2020-02-20 01:40:59,"Clean Wine Lines This Cycle Access after 8am, use back door",0
CYCLE,5822531_A0011_2020-02-21,A0011,Tyle,Alden CC,1114332,Raconteur Room (Atascadero/Traffic),5840 Traffic Way,Atascadero,93422,CA,CA16,Central Coast,35490580,-120669870,2020-02-20,2020-02-21,Wine Lines,12,5574068,2020-02-20 01:41:18,2020-02-20 02:26:42,Clean Wine Lines This Cycle,0
CYCLE,5091902_A0008_2020-02-21,A0011,Tyle,Alden CC,1032072,Bartenders Union (Gilroy/Monterey),7421 Monterey Rd,Gilroy,95020,CA,CA01,South Bay,36929042,-121548087,2020-02-20,2020-02-21,Wine Lines,12,3588919,2020-02-20 04:38:11,2020-02-20 05:56:11,please clean wine lines this cycle,0
CYCLE,5822574_A0011_2020-02-24,A0011,Tyle,Alden CC,1114321,Ocean Grill (Avila Beach/Front),268 Front Street,Avila Beach,93424,CA,CA16,Central Coast,35178476,-120732096,2020-02-20,2020-02-24,Wine Lines,12,5574116,2020-02-20 09:12:11,2020-02-20 09:57:35,"Clean Wine Lines This Cycle Wed-Thur Only, someone usually onsite by 8am Brian 805-595-4050",0
CYCLE,5335289_V0004_2020-02-24,A0011,Tyle,Alden CC,1101333,Pono Hawaiian (Capitola/Capitola),3744 Capitola Rd,Capitola,95062,CA,CA12,Monterey/Santa Cruz,36973822,-121969731,2020-02-20,2020-02-24,Wine Lines,12,4640659,2020-02-20 13:15:28,2020-02-20 14:53:28,Clean Wine Lines this Cycle access time 1pm,0
CYCLE,5822525_A0011_2020-02-26,A0011,Tyle,Alden CC,1114372,Villa Cantina (Arroyo Grande/E Branch),106 E Branch Street,Arroyo Grande,93420,CA,CA16,Central Coast,35123180,-120578680,2020-02-20,2020-02-26,Wine Lines,12,5574173,2020-02-20 18:30:35,2020-02-20 19:16:07,Clean Wine Lines This Cycle Access at 8:30am.,0
CYCLE,2385289_C048_2020-02-27,A0011,Tyle,Alden CC,1033055,2M - Steins Beer Garden & Restaurant (Cupertino/North Wolf),10088 North Wolf Road 130,Cupertino,95014,CA,CA04,South Bay,37324461,-122013914,2020-02-20,2020-02-27,Wine Lines Only,4,1868257,2020-02-20 22:33:53,2020-02-20 23:47:53,cupertino@steinsbeergarden.com; pako@steinsbeergarden.com,0
CYCLE,2385289_B0014_2020-02-27,A0011,Tyle,Alden CC,1033055,2M - Steins Beer Garden & Restaurant (Cupertino/North Wolf),10088 North Wolf Road 130,Cupertino,95014,CA,CA04,South Bay,37324461,-122013914,2020-02-20,2020-02-27,Wine Lines Only,4,1868257,2020-02-20 23:47:53,2020-02-21 01:01:53,cupertino@steinsbeergarden.com; pako@steinsbeergarden.com,0
CYCLE,12468_C0004_2020-02-28,A0011,Tyle,Alden CC,2099,2M - Casino M8trix (San Jose/Matrix),1887 Matrix Blvd,San Jose,95117,CA,CA04,South Bay,37371049,-121918786,2020-02-20,2019-12-06,,2,12468,2020-02-21 01:18:19,2020-02-21 03:09:19,Access time is 5AM,0
CYCLE,3864381_C0016_2020-02-28,A0011,Tyle,Alden CC,1570,Acacia Creek (Hayward/Mission),34400 Mission Blvd Ste A,Hayward,94587,CA,CA03,East Bay,37598960,-122006820,2020-02-20,2020-02-28,Wine Lines,12,3814948,2020-02-21 03:38:55,2020-02-21 04:10:55,Clean and bill wine this cycle,0
CYCLE,12328_C0004_2020-02-28,A0011,Tyle,Alden CC,1960,2M - Buffalo Wild Wings (San Jose/Saratoga),1620 Saratoga Ave,San Jose,95129,CA,CA04,South Bay,37292710,-121990150,2020-02-20,2019-12-06,,2,12328,2020-02-21 04:49:16,2020-02-21 06:05:16,,0
CYCLE,2315167_H0003_2020-02-28,A0011,Tyle,Alden CC,7999,2M - Avaya - Big Bar (San Jose/Coleman),1123 Coleman Avenue,San Jose,95110,CA,CA04,South Bay,37352683,-121924751,2020-02-20,2020-02-28,,4,5091729,2020-02-21 06:25:46,2020-02-21 08:55:46,two day acct - Thur & Fri tim is the GM. we can email him to coordinate for service and gain access. tim.dickert@spectraXP.com,0
CYCLE,2315167_B044_2020-02-28,A0011,Tyle,Alden CC,7999,2M - Avaya - Big Bar (San Jose/Coleman),1123 Coleman Avenue,San Jose,95110,CA,CA04,South Bay,37352683,-121924751,2020-02-20,2020-02-28,,4,5091729,2020-02-21 08:55:46,2020-02-21 11:25:46,two day acct - Thur & Fri tim is the GM. we can email him to coordinate for service and gain access. tim.dickert@spectraXP.com,0
CYCLE,64695_H0003_2020-02-28,A0011,Tyle,Alden CC,4546,Tee Nee Thai (San Jose/The Alameda),1423 The Alameda,San Jose,95126,CA,CA01,South Bay,37333200,-121914130,2020-02-20,2019-12-06,Wine Lines,12,14928,2020-02-21 11:36:28,2020-02-21 12:19:28,teeneethaicuisine@yahoo.com,0
CYCLE,64695_C0004_2020-02-28,A0011,Tyle,Alden CC,4546,Tee Nee Thai (San Jose/The Alameda),1423 The Alameda,San Jose,95126,CA,CA01,South Bay,37333200,-121914130,2020-02-20,2019-12-06,Wine Lines,12,14928,2020-02-21 12:19:28,2020-02-21 13:02:28,teeneethaicuisine@yahoo.com,0
CYCLE,14018_C0004_2020-02-28,A0011,Tyle,Alden CC,3638,2M - Original Gravity (San Jose/S 1st),66 S 1st St,San Jose,95113,CA,CA01,South Bay,37335040,-121889750,2020-02-20,2019-12-06,,2,14018,2020-02-21 13:13:55,2020-02-21 14:12:55,Access after 12PM,0
CYCLE,4990220_V0004_2020-03-02,A0011,Tyle,Alden CC,1136,Cantine Wine Pub (Aptos/Soquel),8050 Soquel Drive,Aptos,95003,CA,CA12,Monterey/Santa Cruz,36976750,-121900540,2020-02-20,2020-03-02,Wine Lines,12,3389079,2020-02-21 15:23:16,2020-02-21 16:08:16,"sometimes the owner arrives at 12:00pm, 2:00, 2:30 or 3:00pm. Please clean and service all wine lines this cycle.",0
CYCLE,3021208_B0014_2020-03-09,A0011,Tyle,Alden CC,2573,2M - Fibbar MaGees (Sunnyvale/S Murphy),156 S Murphy Ave,Sunnyvale,94087,CA,CA04,South Bay,37376671,-122030013,2020-02-20,2019-05-06,,4,12944,2020-02-21 17:07:16,2020-02-21 18:57:16,**Service at 9am only Do not clean Ind this cycle,0
CYCLE,3021208_C048_2020-03-09,A0011,Tyle,Alden CC,2573,2M - Fibbar MaGees (Sunnyvale/S Murphy),156 S Murphy Ave,Sunnyvale,94087,CA,CA04,South Bay,37376671,-122030013,2020-02-20,2019-05-06,,4,12944,2020-02-21 18:57:16,2020-02-21 20:47:16,**Service at 9am only Do not clean Ind this cycle,0
CYCLE,16425_B0014_2020-03-09,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-11,Wk 7,8,15273,2020-02-21 21:03:08,2020-02-21 23:03:08,Faucets & Lines: 66-82 Faucets: 1-65,0
CYCLE,16425_C048_2020-03-09,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-11,Wk 7,8,15273,2020-02-21 23:03:08,2020-02-22 01:03:08,Faucets & Lines: 66-82 Faucets: 1-65,0
CYCLE,3697825_F0005_2020-03-11,A0011,Tyle,Alden CC,2709,Gotts Roadside (Palo Alto/El Camino Real),855 El Camino Real,Palo Alto,94301,CA,CA04,South Bay,37438220,-122159990,2020-02-20,2020-02-12,,4,5800912,2020-02-22 01:29:58,2020-02-22 03:01:58,access time is 7am-10am only,0
CYCLE,3359055_D0003_2020-03-11,A0011,Tyle,Alden CC,8057,Kind Brewery (Santa Cruz/Front),429 Front Street #A,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36970927,-122024172,2020-02-20,2020-02-12,Faucets Only,4,4992297,2020-02-22 04:11:20,2020-02-22 07:11:20,Customer wants beer of lines to be saved in pitchers Only clean faucets and couplers this cycle 10:30 am Access,0
CYCLE,16426_B0014_2020-03-16,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-18,Wk 8,8,16423,2020-02-22 08:13:49,2020-02-22 10:13:49,Faucets & Lines: 83-99 Faucets: 66-130,0
CYCLE,4908516_B0014_2020-03-16,A0011,Tyle,Alden CC,1060628,2M - River Rock Taproom (Sunnyvale/S Murphy),155 S Murphy St,Sunnyvale,94086,CA,CA04,South Bay,37376885,-122030566,2020-02-20,2020-02-17,,4,2837928,2020-02-22 10:34:56,2020-02-22 12:40:56,Only clean Faucets and Couplers this cycle.,0
CYCLE,16426_C048_2020-03-16,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-18,Wk 8,8,16423,2020-02-22 13:02:29,2020-02-22 15:02:29,Faucets & Lines: 83-99 Faucets: 66-130,0
CYCLE,4908516_C048_2020-03-16,A0011,Tyle,Alden CC,1060628,2M - River Rock Taproom (Sunnyvale/S Murphy),155 S Murphy St,Sunnyvale,94086,CA,CA04,South Bay,37376885,-122030566,2020-02-20,2020-02-17,,4,2837928,2020-02-22 15:23:36,2020-02-22 17:29:36,Only clean Faucets and Couplers this cycle.,0
CYCLE,13266_B0014_2020-03-16,A0011,Tyle,Alden CC,2892,2M - ISO Beers (San Jose/E Santa Clara),81 E Santa Clara St,San Jose,95113,CA,CA01,South Bay,37336979,-121888985,2020-02-20,2020-01-20,,4,170191,2020-02-22 17:51:02,2020-02-22 18:48:02,info@isobeers.com Clean Faucets only,0
CYCLE,13266_C048_2020-03-16,A0011,Tyle,Alden CC,2892,2M - ISO Beers (San Jose/E Santa Clara),81 E Santa Clara St,San Jose,95113,CA,CA01,South Bay,37336979,-121888985,2020-02-20,2020-01-20,,4,170191,2020-02-22 18:48:02,2020-02-22 19:45:02,info@isobeers.com Clean Faucets only,0
CYCLE,257020_R0015_2020-03-16,A0011,Tyle,Alden CC,13381,Buffalo Wild Wings (Concord/Diamond),2090 Diamond Avenue,Concord,94520,CA,CA07,East Bay,37974299,-122057588,2020-02-20,2019-11-25,,8,3964770,2020-02-22 21:12:17,2020-02-22 23:42:17,Faucets and lines this cycle,0
CYCLE,4158010_R0015_2020-03-18,A0011,Tyle,Alden CC,1093992,2M - Yardhouse (Concord/Diamond),2005 Diamond Blvd,Concord,94520,CA,CA07,East Bay,37972560,-122059580,2020-02-20,2020-02-05,Wk 2,6,4044805,2020-02-22 23:43:34,2020-02-23 01:43:34,Clean lines and faucets 41-80,0
CYCLE,5470767_E0002_2020-03-18,A0011,Tyle,Alden CC,1213,Rio Grill (Carmel-By-The-Sea/Crossroads),101 Crossroads Shopping Ctr,Carmel-By-The-Sea,93923,CA,CA12,Monterey/Santa Cruz,36537913,-121909065,2020-02-20,2019-12-25,Wine Lines,6,3296251,2020-02-23 04:23:32,2020-02-23 04:40:32,Please clean wine lines this cycle. J&L wine product,0
CYCLE,3658180_Z0003_2020-03-18,A0011,Tyle,Alden CC,13866,2M - Pour Taproom (Santa Cruz/Cooper),110 Cooper St,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36974480,-122026410,2020-02-20,2019-02-20,,4,3354073,2020-02-23 05:34:57,2020-02-23 07:43:57,Clean Tower 2 Bill all IND to WWH,0
CYCLE,16428_B0014_2020-03-23,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-25,WK 1,8,15273,2020-02-23 08:45:26,2020-02-23 10:45:26,Faucets & Lines: 100-116 Faucets: 1-65,0
CYCLE,16428_C048_2020-03-23,A0011,Tyle,Alden CC,4889,2M - Yardhouse (San Jose/Santana),300 Santana Row,San Jose,95128,CA,CA04,South Bay,37322600,-121947520,2020-02-20,2019-02-25,WK 1,8,15273,2020-02-23 10:45:26,2020-02-23 12:45:26,Faucets & Lines: 100-116 Faucets: 1-65,0
