"Num","Technician","Internal ID","Trip ID","Name","Description","Start Date","Start Time","End Time","Location Name","locid","Address","City","State","ZIP","Area","Zone","Repeat Interval","Next Trip Scheduled","Last Cleaned Faucet Count",
"1","Joseph Sterling Sac","S038","4004210","T001-01 - Line Cleaning","","08/19/2019","06:00","07:48","Mesa Mercado (Carmichael/Fair Oaks)","1015674","6241 Fair Oaks Boulevard B ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","20",
"2","Joseph Sterling Sac","S038","4004189","T001-01 - Line Cleaning","before 11am","01/20/2020","08:00","11:00","Palm Street Bar & Grill (Carmichael/Fair Oaks)","3691","6416 Fair Oaks Blvd ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","17",
"3","Joseph Sterling Sac","S038","4004187","T001-01 - Line Cleaning","access before 11:30 only","01/06/2020","09:02","09:34","River City Brewing Company (Carmichael/Fair Oaks)","14053","6241 Fair Oaks Boulevard ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","6",
"4","Joseph Sterling Sac","S038","4004194","T001-01 - Line Cleaning","Closed Mondays","02/17/2020","09:34","10:37","Taiko Sushi (Carmichael/Fair Oaks)","1026096","6241 Fair Oaks Blvd Ste F ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","8",
"5","Joseph Sterling Sac","S038","3996813","T001-01 - Line Cleaning","early in the morning or after 3pm No Fridays","09/16/2019","10:44","11:31","Rey Azteca #2 (Carmichael/Fair Oaks)","13487","6400 Fair Oaks Blvd ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","6",
"6","Joseph Sterling Sac","S038","3996951","T001-01 - Line Cleaning","closed Mondays","02/03/2020","11:36","12:05","Romas Pizzeria (Carmichael/Fair Oaks)","4031","6530 Fair Oaks Blvd ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","6",
"7","Joseph Sterling Sac","S038","4004190","T001-01 - Line Cleaning","","01/06/2020","12:12","12:39","Mr. Pickles (Carmichael/Fair Oaks)","1017039","5900 Fair Oaks Boulevard ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","1",
"8","Joseph Sterling Sac","S038","4004203","T001-01 - Line Cleaning","9:30am-11:30am access time only. Service before opening.","02/17/2020","12:45","13:24","Rey Azteca (Carmichael/Fair Oaks)","3982","6140 Fair Oaks Blvd ","Carmichael","CA","95608","Sacramento","CA05","Every 2 weeks on Monday","03/02/2020","5",
"1","Joseph Sterling Sac","S038","3060861","T001-02 - Line Cleaning","#N/A","04/16/2019","06:00","06:28","Shady Coffee & Tea (Roseville/Douglas)","1071574","325 Douglas Blvd ","Roseville","CA","95678","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","4",
"2","Joseph Sterling Sac","S038","3369071","T001-02 - Line Cleaning","Access : tuesday -saturday 7am- 1:30. For earlier access call/text Marian: (916) 751-8291","04/16/2019","06:37","08:10","Art's Craft Beer Palace (Roseville/Foothills)","1081874","3031 Foothills Blvd ","Roseville","CA","95815","Sacramento","CA08","Every 2 weeks on Tuesday","03/03/2020","29",
