,type,location,distributor,city,tapname,flag,brand_audit
0,dist,2M - 99 Bottles Of Beer On The Wall (Santa Cruz/Walnut),PREMIUM BEVERAGE,Santa Cruz,Dust Bowl,Not associated with PREMIUM BEVERAGE last cycle.,
1,dist,2M - Burgers & Brew (Sacramento/R),BIKE DOG BREWING,Sacramento,Bike Dog Tarto,Not associated with BIKE DOG BREWING last cycle.,
2,dist,2M - Depot (Sacramento/K),CROOKED LANE BREWING,Sacramento,Crooked Lane 1-2 Punch,Not associated with CROOKED LANE BREWING last cycle.,
3,dist,2M - Hop Gardens (Sacramento/Franklin),GOLDEN BRANDS - SACRAMENTO,Sacramento,Boulevard Brewing Rye-On-Rye,Not associated with GOLDEN BRANDS - SACRAMENTO last cycle.,
4,dist,2M - Hop Gardens (Sacramento/Franklin),MUSSETTER,Sacramento,Henhouse Super Duper Stoked,Not associated with MUSSETTER last cycle.,
5,dist,2M - Mission St BBQ (Santa Cruz/Mission),Woodhouse Blending & Brewing,Santa Cruz,Wood House,Not associated with Woodhouse Blending & Brewing last cycle.,
6,dist,2M - Mission St BBQ (Santa Cruz/Mission),Woodhouse Blending & Brewing,Santa Cruz,Woodhouse Blending & Brewing,Not associated with Woodhouse Blending & Brewing last cycle.,
7,dist,2M - Stein's (Mountain View/Villa),CHRISSA IMPORTS,Mountain View,Moylan's Hop Craic IPA,Not associated with CHRISSA IMPORTS last cycle.,
8,dist,2M - The Bank (Sacramento/J),BIKE DOG BREWING,Sacramento,Bike Dog Fog City,Not associated with BIKE DOG BREWING last cycle.,
9,dist,2M - The Halford (Santa Clara/Halford),ALTAMONT BEER WORKS,Santa Clara,Altamont Beer Works,Not associated with ALTAMONT BEER WORKS last cycle.,
10,dist,2M - The Halford (Santa Clara/Halford),ALTAMONT BEER WORKS,Santa Clara,Altamont Beer Works Mocha Something New,Not associated with ALTAMONT BEER WORKS last cycle.,
11,dist,2M - The Halford (Santa Clara/Halford),ALTAMONT BEER WORKS,Santa Clara,Altamont Beer Works Shot Away IPA,Not associated with ALTAMONT BEER WORKS last cycle.,
12,dist,2M - The Halford (Santa Clara/Halford),DISCRETION BREWING,Santa Clara,Discretion Brewing,Not associated with DISCRETION BREWING last cycle.,
13,dist,2M - The Halford (Santa Clara/Halford),DISCRETION BREWING,Santa Clara,Discretion Brewing Rudolph The Orange Nosed Cran Beer,Not associated with DISCRETION BREWING last cycle.,
14,dist,2M - The Halford (Santa Clara/Halford),DISCRETION BREWING,Santa Clara,Discretion brewing Wooden Ruler,Not associated with DISCRETION BREWING last cycle.,
15,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Deschutes Obsidian Nitro,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
16,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Firestone Nitro Merlin,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
17,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Firestone Walker Bretta Rose,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
18,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Firestone Walker Helluva Brulee,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
19,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Firestone Walker Violet Underground,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
20,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Russian River Blind Pig IPA,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
21,dist,2M - The Halford (Santa Clara/Halford),GOLDEN BRANDS - SAN JOSE,Santa Clara,Russian River Pliny The Elder,Not associated with GOLDEN BRANDS - SAN JOSE last cycle.,
22,dist,2M - Yardhouse (Sacramento/K),CROOKED LANE BREWING,Sacramento,Crooked Lane Brewing,Not associated with CROOKED LANE BREWING last cycle.,
23,dist,2M - Yardhouse (Sacramento/K),SOUTHERN WINE (BEER),Sacramento,Ayinger Bavarian Pils,Not associated with SOUTHERN WINE (BEER) last cycle.,
24,dist,2M - Yardhouse (San Jose/Santana),DISCRETION BREWING,San Jose,Discretion Brewing Oh Black Lager,Not associated with DISCRETION BREWING last cycle.,
25,dist,2M - Yardhouse (San Jose/Santana),SOUTHERN WINE (BEER),San Jose,Ayinger Bavarian Pils,Not associated with SOUTHERN WINE (BEER) last cycle.,
26,dist,2M - Yardhouse (San Jose/Santana),SOUTHERN WINE (BEER),San Jose,Lindemans Framboise Lambic,Not associated with SOUTHERN WINE (BEER) last cycle.,
27,dist,Allegro Pizzeria (Carmel-By-The-Sea/The Barnyard),COUCH DISTRIBUTING,Carmel-By-The-Sea,Firestone Walker 805,Not associated with COUCH DISTRIBUTING last cycle.,
28,dist,Argus (Chico/W 2nd),CROOKED LANE BREWING,Chico,Crooked Lane Brewing,Not associated with CROOKED LANE BREWING last cycle.,
29,dist,Argus (Chico/W 2nd),WINE WAREHOUSE,Chico,Almanac,Not associated with WINE WAREHOUSE last cycle.,
