,distributor,serviceable,distactive,locid,city,address1,zip,tapname,bid,zonevalue,area,did,client,clientNumber,recurDescription,quantity,dist_tap_audit,brewery_dist_audit
0,ALTAMONT BEER WORKS,True,True,1065193,Antioch,1 Marina Plz,94509,Altamont Beer Works Maui Waui,1054244,CA07,,157,Smiths Landing Seafood Grill (Antioch/Marina),,,1,,
1,ALTAMONT BEER WORKS,True,True,1026931,Antioch,5019 Lone Tree Way,94531,Altamont Beer Works Hella Hoppy,3520,CA07,,157,HD Burgers & More (Antioch/Lone Tree),,,1,,
2,ALTAMONT BEER WORKS,True,True,1026931,Antioch,5019 Lone Tree Way,94531,Altamont Beer Works Maui Waui,1054244,CA07,,157,HD Burgers & More (Antioch/Lone Tree),,,1,,
3,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Juice Above The Clouds,1195213,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
4,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Work Nu-Clear IPA,1197089,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
5,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Works,1057598,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,3,,
6,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Works Mocha Something New,1052633,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
7,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Works Pale Ale,1055464,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
8,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Works Rich Mahogany,4241,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
9,ALTAMONT BEER WORKS,True,True,1249,Aptos,8059 Aptos St,95003,Altamont Beer Works Shot Away,6519,CA12,,157,2M - Aptos St BBQ (Aptos/Aptos),,,1,,
10,ALTAMONT BEER WORKS,True,True,1044841,Brentwood,380 W Country Club Dr,94513,Altamont Beer Works Maui Waui,1054244,CA07,,157,Mountain Mikes (Brentwood/W Country Club),,,1,,
11,ALTAMONT BEER WORKS,True,True,1955,Brentwood,6051 Lone Tree Way,94513,Altamont Beer Works Maui Waui,1054244,CA07,,157,2M - Buffalo Wild Wings (Brentwood/Lone Tree),,Clean on a 2 week cycle per gm,1,,
12,ALTAMONT BEER WORKS,True,True,3630,Campbell,1750 S Winchester Blvd,95008,Altamont Beer Works,1057598,CA04,,157,Orale Mex Grill (Campbell/S Winchester),337491.0,"9am access, no later than 10am",1,,
13,ALTAMONT BEER WORKS,True,True,1044088,Campbell,400 E Campbell Ave,95008,Altamont Beer Works Rich Mahogany,4241,CA04,,157,Lvl Up (Campbell/E Campbell),355504.0,New Lockbox Code 2019 Alarm Code 3404,1,,
14,ALTAMONT BEER WORKS,True,True,1093404,Carmel-By-The-Sea,241 Crossroads Blvd,93923,Altamont Beer Work Hella Stoked,1207966,CA12,,157,The Crossroads BBQ (Carmel-By-The-Sea/Crossroads),,Clean and bill all IND to acct,1,,
15,ALTAMONT BEER WORKS,True,True,1093404,Carmel-By-The-Sea,241 Crossroads Blvd,93923,Altamont Beer Works Berry White,4333,CA12,,157,The Crossroads BBQ (Carmel-By-The-Sea/Crossroads),,Clean and bill all IND to acct,1,,
16,ALTAMONT BEER WORKS,True,True,1093404,Carmel-By-The-Sea,241 Crossroads Blvd,93923,Altamont Beer Works Mocha Something New,1052633,CA12,,157,The Crossroads BBQ (Carmel-By-The-Sea/Crossroads),,Clean and bill all IND to acct,1,,
17,ALTAMONT BEER WORKS,True,True,2443,Clayton,6200 Center St,94517,Altamont Beer Works Scarcity,6114,CA07,,157,Eds Mudville Grill (Clayton/Center),,"7am-9am
Series on Coors Light",1,,
18,ALTAMONT BEER WORKS,True,True,1026242,Concord,2960 Treat Blvd,94518,Altamont Beer Works Hella Hoppy,3520,CA07,,157,Round Table (Clubhouse) (Concord/Treat),,"Mon-Fri 9am -11am access 
Sat 8am access
system is self serve, need to get wrist band to activate beer wall. must pour minimum 100oz through each line to trigger cleaning. manager will check each beer to make sure enough poured through.",1,,
19,ALTAMONT BEER WORKS,True,True,1026242,Concord,2960 Treat Blvd,94518,Altamont Beer Works Maui Wowie,3686,CA07,,157,Round Table (Clubhouse) (Concord/Treat),,"Mon-Fri 9am -11am access 
Sat 8am access
system is self serve, need to get wrist band to activate beer wall. must pour minimum 100oz through each line to trigger cleaning. manager will check each beer to make sure enough poured through.",1,,
20,ALTAMONT BEER WORKS,True,True,1026242,Concord,2960 Treat Blvd,94518,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Round Table (Clubhouse) (Concord/Treat),,"Mon-Fri 9am -11am access 
Sat 8am access
system is self serve, need to get wrist band to activate beer wall. must pour minimum 100oz through each line to trigger cleaning. manager will check each beer to make sure enough poured through.",1,,
21,ALTAMONT BEER WORKS,True,True,1060586,Danville,200 Sycamore Valley Rd W Bldg 6,94526,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Forbes Mill Steakhouse (Danville/Sycamore Valley),310120.0,access 8am-11am weekdays. saturdays can access 8am-4pm. no lunch on saturdays,1,,
22,ALTAMONT BEER WORKS,True,True,2631,Dublin,11891 Dublin Blvd,94568,Altamont Beer Work Maui Waui IPA,1189160,CA07,,157,Frankie Johnnie & Luigi Too! (Dublin/Dublin),,9am access,1,,
23,ALTAMONT BEER WORKS,True,True,1675,Dublin,4480 Tassajara Rd,94568,Altamont Beer Work Maui Waui IPA,1189160,CA07,,157,Armadillo Willys (Dublin/Tassajara),,7AM access time,1,,
24,ALTAMONT BEER WORKS,True,True,1675,Dublin,4480 Tassajara Rd,94568,Altamont Beer Works Rich Mahogany,4241,CA07,,157,Armadillo Willys (Dublin/Tassajara),,7AM access time,1,,
25,ALTAMONT BEER WORKS,True,True,2266,Dublin,4500 Tassajara Rd,94568,Altamont Beer Works,1057598,CA07,,157,Coco Cabana (Dublin/Tassajara),,"access is 10-3pm, avoid 12:00 hour",1,,
26,ALTAMONT BEER WORKS,True,True,1086307,Dublin,4775 Hacienda Dr,94568,Altamont Beer Works Maui Waui,1054244,CA07,,157,Market Tavern (Dublin/Hacienda),357139.0,Service before 10am,1,,
27,ALTAMONT BEER WORKS,True,True,3615,Dublin,4940 Dublin Blvd,94568,Altamont Beer Works Maui Waui,1054244,CA07,,157,On The Border (Dublin/Dublin),,Access after 7AM,1,,
28,ALTAMONT BEER WORKS,True,True,9180,Dublin,5251 Martinelli Way,94568,Altamont Beer Works Maui Waui,1054244,CA07,,157,Pacific Catch (Dublin/Martinelli),350538.0,"absolute best time for cleaning is 10:30am, Bartender is on site then. lunch is bad, small window around 2:00-3:00 works also",1,,
29,ALTAMONT BEER WORKS,True,True,2082,Dublin,7995 Amador Valley Blvd,94568,Altamont Beer Works Shot Away,6519,CA07,,157,Casa Orozco (Dublin/Amador Valley),,Please collect email,1,,
30,ALTAMONT BEER WORKS,True,True,1015735,Fremont,2740 Mowry Ave,94538,Altamont Beer Works Hella Hoppy IPA,1058865,CA03,,157,Strizzi's Restaurant (Fremont/Mowry),,access at 9am. ring doorbell out back.,1,,
31,ALTAMONT BEER WORKS,True,True,4333,Fremont,3340 Mowry Ave,94536,Altamont Beer Works Hella Hoppy,3520,CA03,,157,Smokin Pig Bbq (Fremont/Mowry Ave),,5-11 am access,1,,
32,ALTAMONT BEER WORKS,True,True,2236,Fremont,43330 Pacific Commons Blvd,94538,Altamont Beer Work Maui Waui IPA,1189160,CA03,,157,Claim Jumper (Fremont/Pacific Commons),330419.0,"6-10am only
Mon, Wed, or Saturdays @ 6am
if doors are locked call claim jumpers phone number. they will unlock door.",1,,
33,ALTAMONT BEER WORKS,True,True,2236,Fremont,43330 Pacific Commons Blvd,94538,Altamont Beer Works Mahogany,1054328,CA03,,157,Claim Jumper (Fremont/Pacific Commons),330419.0,"6-10am only
Mon, Wed, or Saturdays @ 6am
if doors are locked call claim jumpers phone number. they will unlock door.",1,,
34,ALTAMONT BEER WORKS,True,True,4364,Fremont,45915 Warm Springs Blvd,94539,Altamont Beer Works Maui Wowie,3686,CA03,,157,Spin A Yarn Restaurant (Fremont/Warm Springs),,8:30-10am only,1,,
35,ALTAMONT BEER WORKS,True,True,1528,Gilroy,8295 Monterey St.,95020,Altamont Beer Works Berry White,4333,CA01,,157,BBQ 152 (Gilroy/Monterey),,"bbq152@rsbbqinc.com

7-11am access, 20 min account",1,,
36,ALTAMONT BEER WORKS,True,True,1528,Gilroy,8295 Monterey St.,95020,Altamont Beer Works Rich Mahogany,4241,CA01,,157,BBQ 152 (Gilroy/Monterey),,"bbq152@rsbbqinc.com

7-11am access, 20 min account",1,,
37,ALTAMONT BEER WORKS,True,True,1528,Gilroy,8295 Monterey St.,95020,Altamont Beer Works Shot Away,6519,CA01,,157,BBQ 152 (Gilroy/Monterey),,"bbq152@rsbbqinc.com

7-11am access, 20 min account",1,,
38,ALTAMONT BEER WORKS,True,True,1043977,Jackson,140 Main St,95642,Altamont Beer Works Berry White,4333,CA14,,157,Brickhouse Brews (Jackson/Main),358040.0,,1,,
39,ALTAMONT BEER WORKS,True,True,1043977,Jackson,140 Main St,95642,Altamont Beer Works Midnite Brew,1134880,CA14,,157,Brickhouse Brews (Jackson/Main),358040.0,,1,,
40,ALTAMONT BEER WORKS,True,True,4595,Lafayette,32 Lafayette Cir,94549,Altamont Beer Works Hella Hoppy,3520,CA07,,157,The Cooperage American Grill (Lafayette/Lafayette Cir),352997.0,info@thecooperagelafayette.com,2,,
